AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
1507,1610,1538,1539,1560,1471,1408,1393,1548,1373,1428,1469,1420,1347
1617,1694,1645,1644,1692,1602,1530,1575,1664,1471,1522,1574,1555,1434
1620,1694,1640,1643,1685,1605,1550,1566,1662,1471,1521,1573,1545,1436
1620,1694,1636,1633,1690,1602,1560,1568,1665,1471,1519,1568,1549,1436
1620,1694,1627,1639,1688,1599,1541,1587,1666,1471,1521,1575,1552,1435
1622,1694,1627,1650,1679,1599,1524,1594,1665,1471,1524,1594,1546,1435
1621,1694,1638,1644,1677,1597,1528,1586,1667,1471,1524,1603,1544,1437
1619,1694,1641,1641,1676,1582,1535,1587,1668,1473,1524,1606,1555,1435
1620,1694,1638,1649,1677,1575,1532,1591,1667,1473,1524,1607,1567,1433
1622,1694,1644,1634,1682,1593,1527,1581,1667,1478,1524,1595,1571,1436
1622,1694,1646,1616,1679,1600,1530,1573,1668,1482,1524,1586,1569,1437
1622,1694,1645,1631,1677,1587,1535,1576,1667,1479,1524,1587,1569,1436
1621,1694,1645,1651,1681,1592,1529,1570,1667,1479,1524,1582,1570,1437
1621,1694,1638,1636,1685,1608,1524,1563,1668,1486,1524,1562,1564,1435
1622,1694,1636,1620,1683,1605,1538,1566,1669,1484,1523,1544,1553,1431
1622,1694,1643,1631,1682,1597,1543,1575,1669,1474,1524,1553,1545,1437
1620,1694,1641,1638,1683,1598,1536,1583,1670,1471,1525,1573,1549,1440
1620,1694,1636,1637,1675,1595,1526,1595,1670,1467,1523,1575,1551,1436
1624,1694,1642,1644,1661,1585,1518,1604,1669,1476,1520,1584,1545,1435
1625,1694,1645,1646,1646,1576,1515,1598,1669,1495,1522,1607,1547,1439
1622,1694,1637,1638,1643,1575,1515,1589,1669,1492,1524,1607,1552,1439
1620,1694,1638,1640,1650,1574,1510,1587,1669,1481,1520,1603,1548,1435
1623,1694,1647,1649,1658,1574,1510,1584,1669,1484,1519,1596,1551,1434
1624,1694,1649,1645,1656,1584,1525,1575,1669,1488,1524,1573,1568,1434
1622,1694,1645,1627,1659,1590,1541,1571,1669,1480,1526,1567,1575,1432
1623,1694,1648,1615,1675,1582,1555,1572,1669,1476,1523,1575,1568,1433
1623,1694,1640,1617,1686,1587,1556,1567,1669,1478,1522,1572,1563,1438
1623,1694,1627,1623,1684,1598,1532,1575,1669,1482,1525,1567,1552,1441
1623,1694,1630,1634,1673,1590,1519,1596,1668,1486,1526,1580,1542,1438
1623,1694,1640,1645,1661,1579,1526,1598,1667,1479,1523,1599,1558,1438
1622,1694,1641,1644,1656,1576,1534,1584,1666,1471,1520,1608,1571,1436
1621,1694,1641,1642,1655,1578,1534,1585,1666,1469,1519,1606,1568,1433
1623,1694,1647,1647,1650,1585,1527,1597,1665,1470,1521,1606,1576,1433
1621,1694,1645,1644,1652,1594,1533,1597,1665,1467,1522,1611,1584,1432
