@relation b-rest2

@attribute AF3 numeric
@attribute F7 numeric
@attribute F3 numeric
@attribute FC5 numeric
@attribute T7 numeric
@attribute P7 numeric
@attribute O1 numeric
@attribute O2 numeric
@attribute P8 numeric
@attribute T8 numeric
@attribute FC6 numeric
@attribute F4 numeric
@attribute F8 numeric
@attribute AF4 numeric
@attribute Class {rest,rarmup,larmup}

@data
-1468,-1733,-1369,-3365,-2831,-3223,-3640,-1423,-1872,-1804,-1703,-2279,-1929,-1087,rest
-977,-1066,-1040,-1634,-1331,-1510,-1841,-1031,-1068,-1125,-1024,-1204,-1122,-946,rest
-1008,-1110,-1053,-1820,-1450,-1661,-2051,-1061,-1116,-1168,-1067,-1289,-1188,-950,rest
-1003,-1109,-1050,-1845,-1442,-1667,-2077,-1030,-1097,-1156,-1073,-1266,-1161,-949,rest
-953,-1017,-1018,-1544,-1222,-1416,-1756,-953,-998,-1079,-1008,-1101,-1034,-936,rest
-910,-947,-991,-1232,-1036,-1178,-1440,-925,-932,-1032,-953,-981,-957,-926,rest
-914,-962,-994,-1197,-1040,-1167,-1406,-945,-947,-1049,-959,-1006,-979,-927,rest
-899,-928,-984,-1083,-944,-1068,-1267,-902,-909,-1017,-937,-934,-924,-924,rest
-819,-795,-928,-588,-586,-650,-724,-799,-756,-897,-838,-669,-745,-906,rest
-755,-696,-881,-85,-278,-264,-196,-753,-635,-815,-754,-478,-626,-891,rest
-752,-689,-882,73,-217,-168,-36,-771,-625,-819,-736,-472,-632,-884,rest
-760,-704,-895,77,-230,-168,-29,-787,-639,-822,-733,-502,-660,-885,rest
-771,-734,-904,-4,-296,-226,-105,-819,-667,-839,-749,-559,-700,-900,rest
-792,-764,-915,-159,-406,-351,-266,-847,-710,-878,-781,-626,-743,-909,rest
-809,-789,-929,-277,-490,-450,-414,-858,-745,-897,-800,-669,-781,-907,rest
-821,-812,-942,-366,-554,-512,-530,-868,-767,-901,-814,-710,-813,-909,rest
-830,-823,-949,-439,-599,-564,-600,-872,-776,-915,-826,-731,-818,-914,rest
-832,-823,-944,-471,-611,-594,-616,-865,-775,-926,-830,-722,-804,-910,rest
-815,-793,-932,-376,-535,-517,-511,-843,-747,-899,-816,-667,-769,-904,rest
-803,-766,-927,-255,-460,-419,-392,-834,-717,-877,-792,-623,-744,-902,rest
-815,-790,-931,-303,-513,-470,-448,-855,-739,-900,-796,-668,-778,-902,rest
-839,-840,-945,-512,-648,-637,-649,-890,-799,-941,-839,-769,-847,-908,rest
-858,-875,-969,-687,-733,-763,-825,-909,-834,-964,-873,-830,-889,-918,rest
-892,-928,-994,-892,-871,-931,-1057,-944,-886,-1009,-897,-927,-954,-928,rest
-939,-1004,-1017,-1250,-1113,-1218,-1426,-1001,-987,-1080,-954,-1091,-1059,-936,rest
-958,-1027,-1029,-1473,-1224,-1376,-1641,-1013,-1033,-1097,-998,-1152,-1089,-938,rest
-951,-1016,-1030,-1453,-1191,-1354,-1629,-997,-1010,-1080,-993,-1119,-1064,-937,rest
-955,-1030,-1034,-1483,-1222,-1383,-1666,-1001,-1017,-1097,-998,-1137,-1080,-942,rest
-950,-1020,-1024,-1489,-1217,-1386,-1658,-981,-1018,-1095,-1003,-1122,-1066,-943,rest
-927,-981,-1002,-1321,-1099,-1260,-1475,-946,-971,-1062,-977,-1038,-1004,-934,rest
-918,-969,-996,-1212,-1052,-1184,-1373,-945,-954,-1053,-959,-1004,-985,-931,rest
-916,-961,-996,-1187,-1051,-1162,-1374,-942,-954,-1053,-958,-989,-983,-933,rest
-907,-936,-985,-1096,-987,-1089,-1293,-925,-923,-1032,-944,-946,-955,-927,rest
-895,-914,-979,-994,-914,-1000,-1157,-916,-889,-1005,-923,-909,-925,-920,rest
-867,-876,-964,-843,-801,-867,-969,-886,-848,-964,-895,-833,-867,-915,rest
-847,-856,-953,-698,-709,-760,-830,-877,-817,-946,-869,-784,-836,-914,rest
-858,-878,-960,-738,-751,-798,-881,-905,-830,-970,-872,-834,-872,-917,rest
-861,-872,-959,-760,-762,-801,-883,-901,-833,-963,-871,-844,-877,-915,rest
-849,-858,-958,-696,-713,-746,-814,-888,-820,-946,-864,-819,-866,-914,rest
-855,-875,-966,-709,-739,-768,-863,-900,-836,-963,-869,-836,-886,-921,rest
-872,-892,-967,-792,-798,-839,-963,-913,-861,-977,-879,-871,-905,-921,rest
-870,-883,-963,-796,-789,-839,-953,-907,-852,-967,-880,-859,-894,-913,rest
-873,-896,-973,-815,-820,-864,-988,-913,-865,-979,-888,-872,-909,-915,rest
-889,-917,-978,-896,-884,-939,-1089,-919,-893,-997,-901,-906,-928,-920,rest
-875,-889,-963,-840,-823,-882,-1004,-896,-860,-973,-890,-861,-890,-916,rest
-854,-855,-951,-689,-722,-760,-823,-878,-818,-951,-873,-798,-848,-913,rest
-880,-903,-972,-777,-819,-856,-936,-923,-868,-995,-896,-879,-902,-923,rest
-935,-997,-1016,-1150,-1077,-1156,-1333,-995,-974,-1068,-951,-1066,-1030,-942,rest
-978,-1074,-1047,-1526,-1307,-1440,-1708,-1045,-1063,-1134,-1016,-1227,-1143,-952,rest
-1031,-1165,-1080,-1919,-1558,-1758,-2124,-1106,-1167,-1218,-1095,-1404,-1257,-957,rest
-1073,-1228,-1107,-2260,-1763,-2017,-2502,-1144,-1240,-1271,-1148,-1532,-1330,-963,rest
-1075,-1219,-1106,-2353,-1793,-2067,-2600,-1128,-1240,-1266,-1154,-1535,-1326,-969,rest
-1062,-1193,-1092,-2303,-1732,-2015,-2532,-1097,-1217,-1246,-1152,-1490,-1297,-963,rest
-1028,-1139,-1070,-2101,-1586,-1851,-2327,-1045,-1155,-1196,-1120,-1363,-1212,-950,rest
-999,-1090,-1052,-1850,-1445,-1667,-2095,-1014,-1098,-1156,-1074,-1252,-1140,-951,rest
-1015,-1115,-1056,-1869,-1485,-1704,-2121,-1047,-1127,-1184,-1082,-1306,-1176,-958,rest
-1008,-1106,-1047,-1866,-1461,-1698,-2089,-1032,-1120,-1174,-1079,-1290,-1149,-947,rest
-955,-1017,-1013,-1542,-1230,-1430,-1728,-953,-1020,-1098,-1017,-1110,-1021,-934,rest
-929,-973,-996,-1268,-1081,-1217,-1442,-927,-966,-1061,-978,-1019,-976,-935,rest
-925,-968,-995,-1196,-1050,-1162,-1361,-935,-959,-1052,-974,-1022,-984,-933,rest
-884,-908,-969,-972,-891,-984,-1133,-891,-889,-998,-930,-915,-899,-919,rest
-837,-838,-938,-625,-673,-712,-788,-842,-801,-937,-859,-777,-806,-910,rest
-820,-812,-931,-428,-567,-566,-580,-835,-768,-914,-827,-732,-786,-910,rest
-815,-812,-934,-389,-554,-545,-518,-852,-767,-913,-825,-750,-800,-910,rest
-835,-845,-950,-476,-621,-612,-608,-893,-792,-939,-839,-827,-858,-912,rest
-867,-880,-968,-614,-713,-714,-776,-916,-830,-967,-863,-898,-910,-917,rest
-852,-847,-956,-569,-662,-661,-729,-879,-810,-942,-856,-829,-858,-915,rest
-828,-820,-942,-431,-584,-559,-588,-865,-778,-921,-834,-753,-813,-911,rest
-868,-888,-968,-592,-738,-716,-780,-922,-842,-979,-871,-862,-896,-920,rest
-895,-921,-978,-783,-852,-869,-977,-925,-885,-1005,-906,-924,-932,-925,rest
-857,-859,-954,-623,-712,-732,-788,-866,-825,-954,-869,-809,-848,-916,rest
-853,-858,-957,-541,-687,-685,-714,-885,-824,-962,-856,-814,-858,-915,rest
-922,-967,-998,-923,-961,-997,-1118,-976,-947,-1058,-932,-1037,-1015,-934,rest
-970,-1049,-1029,-1341,-1198,-1297,-1520,-1020,-1036,-1124,-1002,-1198,-1116,-950,rest
-979,-1064,-1042,-1498,-1276,-1401,-1679,-1024,-1059,-1141,-1021,-1236,-1130,-950,rest
-975,-1056,-1045,-1534,-1289,-1421,-1737,-1018,-1064,-1133,-1022,-1240,-1123,-945,rest
-964,-1040,-1034,-1509,-1243,-1392,-1693,-1000,-1044,-1106,-1012,-1217,-1097,-940,rest
-951,-1019,-1014,-1408,-1160,-1318,-1543,-980,-1007,-1084,-996,-1164,-1050,-936,rest
-946,-1016,-1008,-1334,-1127,-1275,-1462,-976,-999,-1093,-991,-1131,-1036,-936,rest
-959,-1037,-1024,-1393,-1195,-1330,-1571,-990,-1030,-1115,-1003,-1160,-1074,-940,rest
-967,-1028,-1024,-1410,-1214,-1337,-1604,-985,-1027,-1107,-1006,-1151,-1065,-938,rest
-941,-976,-996,-1227,-1084,-1189,-1393,-944,-968,-1066,-975,-1047,-993,-933,rest
-891,-915,-970,-938,-891,-955,-1098,-893,-896,-1009,-925,-910,-907,-926,rest
-835,-830,-938,-563,-643,-653,-725,-836,-794,-929,-854,-745,-792,-913,rest
-780,-731,-897,-116,-350,-307,-250,-780,-675,-847,-776,-571,-671,-893,rest
-760,-716,-891,82,-253,-171,-45,-787,-656,-836,-750,-551,-669,-888,rest
-791,-777,-919,-81,-390,-315,-231,-845,-724,-887,-779,-679,-759,-899,rest
-811,-796,-932,-197,-456,-400,-345,-853,-739,-898,-790,-723,-781,-902,rest
-807,-782,-933,-169,-433,-365,-297,-843,-723,-881,-784,-698,-771,-898,rest
-799,-778,-931,-176,-433,-349,-299,-840,-722,-875,-786,-689,-772,-896,rest
-769,-729,-905,-21,-305,-215,-154,-795,-664,-840,-750,-597,-696,-891,rest
-759,-713,-890,115,-228,-130,-9,-794,-643,-832,-728,-571,-666,-894,rest
-797,-775,-913,-78,-378,-297,-170,-857,-722,-885,-770,-700,-758,-905,rest
-813,-802,-929,-260,-480,-432,-358,-866,-761,-908,-805,-757,-802,-907,rest
-805,-803,-931,-249,-473,-428,-388,-851,-755,-900,-802,-731,-784,-903,rest
-858,-885,-965,-489,-671,-649,-665,-925,-845,-975,-846,-879,-892,-920,rest
-933,-990,-1018,-1003,-1007,-1057,-1193,-1011,-972,-1079,-941,-1114,-1055,-943,rest
-947,-1004,-1028,-1232,-1105,-1199,-1419,-998,-988,-1085,-977,-1149,-1072,-942,rest
-932,-988,-1014,-1190,-1055,-1147,-1371,-974,-966,-1062,-959,-1100,-1037,-934,rest
-962,-1047,-1033,-1383,-1206,-1313,-1568,-1030,-1036,-1123,-993,-1215,-1117,-944,rest
-1006,-1114,-1066,-1732,-1431,-1586,-1920,-1073,-1120,-1189,-1055,-1358,-1205,-954,rest
