AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
1831,1874,1680,1748,1655,2060,1614,1879,1795,1718,1832,1697,1824,1772
1894,1968,2051,2006,2047,1904,1924,1792,1961,1763,1780,1856,1863,1689
1893,1968,2058,2029,2066,1911,1887,1794,1960,1762,1780,1860,1859,1689
1890,1968,2059,2022,2057,1914,1888,1792,1961,1763,1780,1856,1866,1689
1885,1970,2056,2003,2040,1911,1917,1790,1960,1763,1780,1855,1869,1689
1890,1968,2057,2007,2041,1912,1903,1801,1961,1763,1780,1860,1859,1689
1894,1967,2055,2018,2042,1919,1874,1805,1961,1763,1780,1857,1852,1689
1892,1976,2056,2014,2042,1929,1879,1792,1962,1763,1780,1850,1860,1689
1890,1979,2058,2006,2047,1930,1887,1787,1963,1763,1780,1854,1871,1689
1891,1970,2054,2000,2056,1920,1892,1792,1963,1763,1781,1842,1877,1689
1892,1966,2052,1995,2058,1915,1912,1790,1963,1763,1781,1820,1875,1689
1890,1970,2053,1993,2047,1917,1922,1789,1963,1762,1779,1832,1872,1689
1886,1970,2055,1995,2041,1919,1927,1789,1963,1763,1782,1857,1872,1689
1885,1967,2055,1996,2051,1919,1931,1795,1963,1764,1781,1853,1877,1690
1893,1966,2055,2005,2048,1916,1915,1810,1963,1758,1772,1856,1879,1690
1896,1966,2054,1999,2041,1914,1905,1821,1963,1751,1772,1871,1879,1688
1888,1968,2055,1994,2056,1927,1916,1814,1963,1752,1779,1862,1876,1691
1880,1970,2056,2021,2057,1945,1918,1795,1963,1756,1778,1853,1877,1690
1883,1968,2050,2037,2044,1941,1912,1787,1963,1755,1777,1857,1876,1684
1884,1969,2042,2027,2054,1932,1916,1795,1963,1754,1783,1853,1864,1687
1877,1986,2043,2026,2070,1938,1916,1796,1963,1760,1785,1846,1861,1695
1883,1996,2045,2027,2069,1934,1913,1789,1962,1766,1781,1836,1865,1694
1897,1981,2043,2001,2071,1919,1921,1800,1962,1766,1784,1832,1859,1691
1895,1966,2049,1986,2071,1914,1920,1821,1963,1765,1784,1845,1863,1696
1885,1968,2058,2009,2058,1915,1912,1817,1961,1761,1774,1859,1881,1695
1882,1970,2059,2026,2050,1902,1936,1795,1958,1753,1761,1856,1882,1692
1881,1967,2057,2024,2052,1894,1958,1797,1958,1751,1760,1855,1874,1693
1885,1968,2057,2022,2046,1906,1929,1816,1959,1761,1769,1867,1878,1693
1887,1968,2055,2024,2041,1918,1901,1817,1959,1768,1778,1874,1879,1693
1883,1968,2054,2025,2047,1914,1915,1808,1959,1765,1780,1865,1875,1693
1884,1968,2056,2030,2047,1906,1922,1812,1959,1763,1779,1853,1878,1693
1887,1968,2052,2032,2048,1909,1906,1817,1959,1767,1778,1856,1878,1693
1888,1968,2049,2027,2064,1914,1902,1804,1959,1767,1778,1856,1864,1693
