AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
2322,-3523,-6048,6830,3721,5128,-2691,-5341,-4115,-5635,-5918,224,6714,5811
-1712,-2165,-1588,-5817,-4077,-4985,-6470,-1799,-2307,-2275,-2068,-3125,-2426,-1038
-1700,-2144,-1577,-5606,-3988,-4851,-6186,-1803,-2286,-2253,-2038,-3113,-2422,-1045
-1630,-2005,-1524,-5178,-3643,-4435,-5643,-1682,-2152,-2132,-1953,-2865,-2254,-1028
-1519,-1808,-1443,-4438,-3142,-3792,-4842,-1522,-1948,-1950,-1819,-2486,-2018,-991
-1412,-1635,-1371,-3590,-2638,-3148,-3977,-1389,-1754,-1780,-1681,-2130,-1801,-965
-1329,-1508,-1320,-2923,-2228,-2620,-3255,-1307,-1609,-1659,-1565,-1875,-1643,-950
-1296,-1440,-1292,-2481,-2002,-2295,-2775,-1276,-1539,-1599,-1502,-1751,-1566,-941
-1248,-1341,-1247,-2021,-1708,-1914,-2248,-1199,-1427,-1502,-1417,-1557,-1428,-927
-1147,-1191,-1185,-1292,-1235,-1330,-1460,-1097,-1249,-1359,-1288,-1261,-1235,-907
-1103,-1139,-1169,-864,-1008,-1009,-1004,-1096,-1180,-1313,-1229,-1167,-1184,-899
-1082,-1107,-1156,-606,-858,-802,-727,-1086,-1132,-1280,-1185,-1104,-1140,-891
-1047,-1060,-1140,-313,-680,-581,-414,-1066,-1070,-1237,-1131,-1022,-1095,-881
-1036,-1059,-1145,-221,-641,-521,-302,-1090,-1063,-1235,-1122,-1032,-1103,-878
-1069,-1115,-1166,-368,-758,-643,-450,-1146,-1126,-1286,-1153,-1133,-1156,-892
-1121,-1189,-1197,-668,-966,-883,-773,-1200,-1215,-1356,-1199,-1271,-1258,-908
-1165,-1260,-1234,-1005,-1211,-1162,-1168,-1248,-1295,-1420,-1265,-1409,-1378,-915
-1217,-1347,-1272,-1393,-1488,-1478,-1607,-1298,-1391,-1492,-1341,-1565,-1488,-924
-1270,-1422,-1300,-1772,-1731,-1777,-2004,-1341,-1489,-1561,-1402,-1706,-1575,-938
-1303,-1469,-1318,-2069,-1905,-2015,-2310,-1371,-1553,-1608,-1446,-1795,-1633,-950
-1309,-1482,-1320,-2191,-1959,-2107,-2425,-1357,-1559,-1615,-1465,-1798,-1635,-951
-1297,-1462,-1307,-2139,-1894,-2049,-2330,-1320,-1537,-1591,-1460,-1752,-1609,-947
-1273,-1420,-1292,-1997,-1783,-1927,-2165,-1289,-1494,-1556,-1438,-1682,-1558,-944
-1223,-1341,-1260,-1697,-1575,-1685,-1872,-1230,-1396,-1488,-1378,-1528,-1433,-929
-1161,-1244,-1213,-1253,-1271,-1330,-1392,-1162,-1281,-1399,-1298,-1340,-1300,-907
-1118,-1186,-1184,-904,-1040,-1049,-983,-1136,-1212,-1336,-1245,-1241,-1232,-900
-1089,-1146,-1167,-648,-880,-845,-736,-1114,-1160,-1298,-1198,-1159,-1172,-904
-1060,-1088,-1148,-364,-731,-631,-496,-1079,-1099,-1258,-1149,-1042,-1109,-898
-1034,-1033,-1138,-93,-608,-429,-243,-1060,-1046,-1214,-1114,-944,-1067,-886
-1032,-1032,-1146,9,-574,-359,-154,-1077,-1037,-1204,-1102,-927,-1065,-882
-1069,-1096,-1175,-195,-714,-525,-343,-1131,-1108,-1260,-1135,-1042,-1141,-890
-1115,-1173,-1199,-537,-939,-795,-641,-1188,-1196,-1333,-1199,-1194,-1241,-903
-1137,-1209,-1205,-741,-1057,-949,-834,-1203,-1229,-1360,-1234,-1255,-1279,-914
-1147,-1222,-1210,-825,-1082,-1015,-936,-1202,-1247,-1366,-1242,-1282,-1300,-916
-1172,-1258,-1231,-993,-1185,-1159,-1111,-1231,-1300,-1402,-1270,-1371,-1361,-916
-1207,-1319,-1256,-1243,-1361,-1365,-1382,-1270,-1358,-1456,-1316,-1484,-1431,-922
-1255,-1399,-1288,-1581,-1586,-1633,-1754,-1320,-1438,-1525,-1374,-1636,-1530,-935
-1304,-1475,-1323,-2000,-1837,-1954,-2174,-1375,-1537,-1596,-1444,-1807,-1639,-950
-1334,-1522,-1341,-2307,-2010,-2194,-2476,-1408,-1603,-1645,-1497,-1909,-1695,-962
-1377,-1594,-1364,-2629,-2222,-2458,-2805,-1459,-1681,-1714,-1550,-2052,-1787,-974
-1461,-1726,-1418,-3165,-2577,-2893,-3409,-1555,-1823,-1839,-1646,-2299,-1964,-990
-1542,-1851,-1478,-3750,-2950,-3367,-4107,-1636,-1964,-1960,-1759,-2518,-2124,-1010
-1570,-1895,-1499,-4059,-3136,-3616,-4466,-1646,-2024,-2004,-1815,-2589,-2171,-1016
-1586,-1923,-1506,-4208,-3237,-3750,-4634,-1654,-2062,-2031,-1844,-2633,-2204,-1015
-1610,-1958,-1518,-4372,-3342,-3896,-4850,-1674,-2102,-2073,-1880,-2695,-2248,-1017
-1615,-1964,-1517,-4460,-3392,-3972,-4958,-1671,-2113,-2090,-1901,-2717,-2244,-1021
-1600,-1936,-1506,-4397,-3336,-3916,-4854,-1646,-2088,-2063,-1889,-2675,-2191,-1019
-1592,-1915,-1500,-4297,-3265,-3827,-4752,-1632,-2064,-2039,-1875,-2634,-2164,-1015
-1581,-1898,-1488,-4229,-3221,-3761,-4686,-1616,-2040,-2021,-1867,-2602,-2150,-1014
-1550,-1853,-1472,-4081,-3115,-3637,-4488,-1578,-1993,-1979,-1835,-2526,-2091,-1010
-1509,-1781,-1449,-3812,-2919,-3417,-4170,-1526,-1924,-1914,-1784,-2402,-2000,-997
-1473,-1716,-1416,-3512,-2712,-3168,-3844,-1479,-1846,-1850,-1730,-2283,-1920,-981
-1446,-1682,-1399,-3288,-2576,-2996,-3594,-1462,-1794,-1810,-1686,-2214,-1880,-980
-1441,-1679,-1399,-3223,-2543,-2953,-3498,-1474,-1794,-1806,-1674,-2213,-1896,-983
