AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
-1850,-2274,-1716,-6394,-4555,-5553,-7220,-1978,-2421,-2370,-2115,-3376,-2589,-1227
-1170,-1173,-1247,-861,-1018,-969,-1010,-1212,-1156,-1305,-1132,-1137,-1202,-1087
-1189,-1214,-1261,-1050,-1139,-1132,-1216,-1217,-1201,-1343,-1169,-1211,-1251,-1087
-1199,-1219,-1261,-1114,-1175,-1179,-1301,-1218,-1206,-1346,-1178,-1227,-1260,-1088
-1189,-1191,-1259,-1062,-1118,-1113,-1254,-1203,-1180,-1322,-1166,-1192,-1233,-1092
-1169,-1164,-1248,-962,-1031,-1025,-1117,-1184,-1148,-1301,-1151,-1143,-1194,-1086
-1135,-1114,-1221,-758,-887,-868,-886,-1150,-1090,-1257,-1109,-1047,-1121,-1072
-1102,-1053,-1200,-476,-709,-645,-625,-1116,-1023,-1208,-1053,-942,-1045,-1066
-1110,-1074,-1211,-471,-733,-642,-611,-1154,-1044,-1232,-1059,-996,-1086,-1069
-1171,-1190,-1259,-876,-1027,-976,-994,-1252,-1165,-1326,-1138,-1220,-1242,-1082
-1242,-1302,-1307,-1394,-1365,-1398,-1540,-1321,-1294,-1420,-1223,-1428,-1378,-1100
-1278,-1346,-1323,-1693,-1531,-1635,-1859,-1325,-1355,-1462,-1265,-1492,-1421,-1110
-1289,-1363,-1325,-1819,-1598,-1737,-1994,-1320,-1381,-1475,-1288,-1505,-1436,-1114
-1302,-1392,-1337,-1945,-1688,-1849,-2164,-1333,-1417,-1499,-1320,-1554,-1472,-1117
-1325,-1414,-1350,-2073,-1777,-1954,-2331,-1346,-1448,-1531,-1349,-1607,-1513,-1120
-1331,-1406,-1350,-2105,-1790,-1961,-2356,-1336,-1444,-1527,-1351,-1603,-1512,-1117
-1302,-1364,-1329,-1967,-1684,-1836,-2209,-1290,-1389,-1480,-1321,-1515,-1453,-1112
-1247,-1278,-1288,-1629,-1451,-1560,-1876,-1222,-1291,-1407,-1264,-1351,-1342,-1102
-1197,-1198,-1256,-1261,-1212,-1264,-1484,-1187,-1205,-1341,-1202,-1213,-1244,-1090
-1165,-1156,-1239,-1015,-1045,-1058,-1167,-1168,-1146,-1293,-1154,-1133,-1175,-1081
-1119,-1080,-1208,-691,-818,-784,-774,-1109,-1051,-1221,-1091,-989,-1064,-1074
-1061,-991,-1171,-262,-551,-449,-332,-1060,-948,-1148,-1020,-828,-952,-1066
-1054,-987,-1164,-99,-491,-345,-175,-1084,-939,-1144,-998,-821,-954,-1061
-1074,-1015,-1174,-149,-562,-403,-238,-1100,-968,-1160,-1011,-849,-989,-1062
-1065,-994,-1176,-78,-531,-362,-209,-1075,-948,-1142,-1001,-783,-964,-1061
-1059,-986,-1179,-16,-500,-331,-175,-1086,-945,-1144,-997,-767,-964,-1058
-1079,-1021,-1187,-119,-583,-423,-284,-1112,-984,-1177,-1015,-835,-1015,-1064
-1089,-1036,-1190,-202,-637,-488,-371,-1107,-998,-1184,-1020,-849,-1028,-1070
-1087,-1032,-1186,-189,-612,-481,-358,-1102,-991,-1176,-1019,-829,-1011,-1066
-1092,-1041,-1189,-227,-633,-503,-390,-1118,-1007,-1188,-1032,-869,-1031,-1066
-1102,-1063,-1204,-329,-714,-579,-502,-1143,-1033,-1213,-1048,-936,-1074,-1074
-1129,-1108,-1224,-526,-843,-733,-703,-1179,-1081,-1249,-1075,-1029,-1132,-1085
-1153,-1146,-1233,-736,-952,-881,-884,-1193,-1125,-1275,-1109,-1101,-1171,-1080
-1157,-1165,-1239,-846,-996,-962,-963,-1193,-1138,-1290,-1124,-1128,-1182,-1078
-1159,-1179,-1253,-915,-1024,-1021,-1026,-1209,-1149,-1304,-1131,-1152,-1199,-1094
-1176,-1200,-1265,-1036,-1098,-1114,-1157,-1230,-1182,-1329,-1152,-1209,-1238,-1103
-1223,-1262,-1283,-1307,-1292,-1329,-1449,-1274,-1261,-1391,-1199,-1333,-1328,-1098
-1294,-1368,-1328,-1741,-1599,-1694,-1937,-1352,-1383,-1486,-1280,-1529,-1469,-1110
-1338,-1443,-1365,-2136,-1840,-2015,-2375,-1395,-1470,-1549,-1352,-1672,-1567,-1129
-1333,-1442,-1358,-2254,-1875,-2093,-2484,-1366,-1473,-1547,-1368,-1658,-1551,-1126
-1312,-1408,-1338,-2140,-1787,-2000,-2367,-1320,-1435,-1516,-1348,-1566,-1482,-1120
-1275,-1338,-1315,-1880,-1609,-1787,-2111,-1265,-1356,-1455,-1304,-1435,-1381,-1115
-1195,-1199,-1256,-1354,-1232,-1346,-1539,-1169,-1198,-1339,-1209,-1186,-1204,-1091
-1120,-1087,-1204,-778,-858,-890,-915,-1105,-1064,-1246,-1106,-969,-1070,-1071
-1111,-1083,-1207,-579,-771,-756,-709,-1127,-1054,-1242,-1072,-966,-1074,-1070
-1105,-1061,-1197,-474,-701,-669,-592,-1108,-1023,-1213,-1052,-932,-1036,-1063
-1027,-932,-1143,26,-350,-258,-78,-1005,-872,-1092,-968,-669,-856,-1042
-963,-841,-1111,511,-69,109,398,-966,-775,-1021,-891,-491,-754,-1037
-982,-872,-1127,502,-121,85,395,-1020,-811,-1051,-893,-568,-819,-1041
-1022,-941,-1154,274,-286,-101,177,-1075,-876,-1103,-929,-690,-909,-1046
-1066,-1028,-1185,-66,-530,-382,-166,-1135,-976,-1179,-989,-848,-1016,-1061
