AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
-1468,-1733,-1369,-3365,-2831,-3223,-3640,-1423,-1872,-1804,-1703,-2279,-1929,-1087
-977,-1066,-1040,-1634,-1331,-1510,-1841,-1031,-1068,-1125,-1024,-1204,-1122,-946
-1008,-1110,-1053,-1820,-1450,-1661,-2051,-1061,-1116,-1168,-1067,-1289,-1188,-950
-1003,-1109,-1050,-1845,-1442,-1667,-2077,-1030,-1097,-1156,-1073,-1266,-1161,-949
-953,-1017,-1018,-1544,-1222,-1416,-1756,-953,-998,-1079,-1008,-1101,-1034,-936
-910,-947,-991,-1232,-1036,-1178,-1440,-925,-932,-1032,-953,-981,-957,-926
-914,-962,-994,-1197,-1040,-1167,-1406,-945,-947,-1049,-959,-1006,-979,-927
-899,-928,-984,-1083,-944,-1068,-1267,-902,-909,-1017,-937,-934,-924,-924
-819,-795,-928,-588,-586,-650,-724,-799,-756,-897,-838,-669,-745,-906
-755,-696,-881,-85,-278,-264,-196,-753,-635,-815,-754,-478,-626,-891
-752,-689,-882,73,-217,-168,-36,-771,-625,-819,-736,-472,-632,-884
-760,-704,-895,77,-230,-168,-29,-787,-639,-822,-733,-502,-660,-885
-771,-734,-904,-4,-296,-226,-105,-819,-667,-839,-749,-559,-700,-900
-792,-764,-915,-159,-406,-351,-266,-847,-710,-878,-781,-626,-743,-909
-809,-789,-929,-277,-490,-450,-414,-858,-745,-897,-800,-669,-781,-907
-821,-812,-942,-366,-554,-512,-530,-868,-767,-901,-814,-710,-813,-909
-830,-823,-949,-439,-599,-564,-600,-872,-776,-915,-826,-731,-818,-914
-832,-823,-944,-471,-611,-594,-616,-865,-775,-926,-830,-722,-804,-910
-815,-793,-932,-376,-535,-517,-511,-843,-747,-899,-816,-667,-769,-904
-803,-766,-927,-255,-460,-419,-392,-834,-717,-877,-792,-623,-744,-902
-815,-790,-931,-303,-513,-470,-448,-855,-739,-900,-796,-668,-778,-902
-839,-840,-945,-512,-648,-637,-649,-890,-799,-941,-839,-769,-847,-908
-858,-875,-969,-687,-733,-763,-825,-909,-834,-964,-873,-830,-889,-918
-892,-928,-994,-892,-871,-931,-1057,-944,-886,-1009,-897,-927,-954,-928
-939,-1004,-1017,-1250,-1113,-1218,-1426,-1001,-987,-1080,-954,-1091,-1059,-936
-958,-1027,-1029,-1473,-1224,-1376,-1641,-1013,-1033,-1097,-998,-1152,-1089,-938
-951,-1016,-1030,-1453,-1191,-1354,-1629,-997,-1010,-1080,-993,-1119,-1064,-937
-955,-1030,-1034,-1483,-1222,-1383,-1666,-1001,-1017,-1097,-998,-1137,-1080,-942
-950,-1020,-1024,-1489,-1217,-1386,-1658,-981,-1018,-1095,-1003,-1122,-1066,-943
-927,-981,-1002,-1321,-1099,-1260,-1475,-946,-971,-1062,-977,-1038,-1004,-934
-918,-969,-996,-1212,-1052,-1184,-1373,-945,-954,-1053,-959,-1004,-985,-931
-916,-961,-996,-1187,-1051,-1162,-1374,-942,-954,-1053,-958,-989,-983,-933
-907,-936,-985,-1096,-987,-1089,-1293,-925,-923,-1032,-944,-946,-955,-927
-895,-914,-979,-994,-914,-1000,-1157,-916,-889,-1005,-923,-909,-925,-920
-867,-876,-964,-843,-801,-867,-969,-886,-848,-964,-895,-833,-867,-915
-847,-856,-953,-698,-709,-760,-830,-877,-817,-946,-869,-784,-836,-914
-858,-878,-960,-738,-751,-798,-881,-905,-830,-970,-872,-834,-872,-917
-861,-872,-959,-760,-762,-801,-883,-901,-833,-963,-871,-844,-877,-915
-849,-858,-958,-696,-713,-746,-814,-888,-820,-946,-864,-819,-866,-914
-855,-875,-966,-709,-739,-768,-863,-900,-836,-963,-869,-836,-886,-921
-872,-892,-967,-792,-798,-839,-963,-913,-861,-977,-879,-871,-905,-921
-870,-883,-963,-796,-789,-839,-953,-907,-852,-967,-880,-859,-894,-913
-873,-896,-973,-815,-820,-864,-988,-913,-865,-979,-888,-872,-909,-915
-889,-917,-978,-896,-884,-939,-1089,-919,-893,-997,-901,-906,-928,-920
-875,-889,-963,-840,-823,-882,-1004,-896,-860,-973,-890,-861,-890,-916
-854,-855,-951,-689,-722,-760,-823,-878,-818,-951,-873,-798,-848,-913
-880,-903,-972,-777,-819,-856,-936,-923,-868,-995,-896,-879,-902,-923
-935,-997,-1016,-1150,-1077,-1156,-1333,-995,-974,-1068,-951,-1066,-1030,-942
-978,-1074,-1047,-1526,-1307,-1440,-1708,-1045,-1063,-1134,-1016,-1227,-1143,-952
-1031,-1165,-1080,-1919,-1558,-1758,-2124,-1106,-1167,-1218,-1095,-1404,-1257,-957
-1073,-1228,-1107,-2260,-1763,-2017,-2502,-1144,-1240,-1271,-1148,-1532,-1330,-963
-1075,-1219,-1106,-2353,-1793,-2067,-2600,-1128,-1240,-1266,-1154,-1535,-1326,-969
-1062,-1193,-1092,-2303,-1732,-2015,-2532,-1097,-1217,-1246,-1152,-1490,-1297,-963
-1028,-1139,-1070,-2101,-1586,-1851,-2327,-1045,-1155,-1196,-1120,-1363,-1212,-950
-999,-1090,-1052,-1850,-1445,-1667,-2095,-1014,-1098,-1156,-1074,-1252,-1140,-951
-1015,-1115,-1056,-1869,-1485,-1704,-2121,-1047,-1127,-1184,-1082,-1306,-1176,-958
-1008,-1106,-1047,-1866,-1461,-1698,-2089,-1032,-1120,-1174,-1079,-1290,-1149,-947
