AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
1778,1854,1821,1822,1877,1785,1752,1716,1826,1657,1677,1722,1715,1632
1745,1774,1656,1699,1655,1629,1617,1622,1729,1601,1583,1632,1613,1723
1747,1774,1656,1690,1658,1632,1627,1609,1727,1606,1585,1629,1613,1723
1752,1774,1656,1693,1674,1639,1617,1607,1740,1609,1588,1619,1612,1723
1751,1774,1656,1693,1685,1639,1616,1610,1744,1603,1592,1606,1610,1723
1749,1774,1656,1675,1684,1640,1646,1604,1733,1592,1601,1600,1611,1723
1749,1774,1655,1666,1686,1659,1657,1600,1729,1601,1602,1600,1610,1723
1750,1774,1656,1678,1694,1673,1635,1600,1736,1607,1601,1601,1602,1723
1751,1774,1657,1690,1694,1670,1619,1598,1735,1605,1603,1600,1597,1723
1753,1774,1655,1696,1688,1662,1605,1607,1732,1616,1596,1604,1602,1723
1748,1774,1657,1700,1686,1654,1596,1616,1733,1613,1582,1626,1611,1723
1743,1774,1664,1711,1685,1640,1605,1620,1730,1595,1580,1643,1615,1723
1746,1774,1669,1717,1683,1629,1620,1627,1729,1594,1588,1640,1624,1723
1748,1774,1668,1715,1682,1638,1627,1628,1731,1601,1587,1639,1633,1723
1746,1774,1664,1716,1684,1656,1630,1619,1731,1599,1583,1643,1631,1724
1748,1774,1664,1718,1691,1659,1638,1616,1730,1595,1588,1636,1621,1722
1749,1774,1667,1718,1692,1657,1638,1615,1731,1597,1592,1629,1615,1723
1746,1774,1668,1719,1687,1657,1640,1607,1731,1598,1587,1631,1622,1725
1746,1774,1665,1726,1686,1657,1646,1606,1731,1601,1584,1632,1633,1720
1747,1773,1667,1731,1688,1660,1642,1606,1731,1598,1588,1631,1629,1716
1747,1775,1663,1726,1698,1671,1626,1605,1731,1597,1588,1628,1617,1721
1748,1776,1649,1718,1715,1677,1630,1616,1731,1598,1586,1627,1611,1727
1748,1775,1647,1723,1714,1663,1659,1621,1731,1598,1587,1632,1613,1722
1747,1775,1651,1740,1707,1652,1662,1614,1731,1597,1583,1639,1612,1712
1741,1777,1649,1755,1715,1663,1642,1619,1731,1597,1583,1640,1607,1707
1737,1778,1654,1765,1702,1677,1645,1629,1731,1599,1585,1638,1610,1708
1742,1776,1665,1766,1687,1672,1654,1625,1731,1597,1582,1638,1614,1711
1743,1777,1666,1762,1696,1664,1638,1623,1731,1597,1580,1641,1610,1708
1737,1778,1659,1760,1700,1673,1631,1623,1731,1603,1583,1642,1611,1708
1738,1776,1651,1758,1692,1678,1653,1617,1731,1605,1583,1640,1625,1710
1739,1778,1646,1751,1697,1669,1669,1616,1731,1598,1582,1636,1631,1708
1738,1784,1651,1741,1712,1671,1670,1615,1731,1595,1583,1635,1627,1707
1743,1785,1649,1735,1716,1677,1662,1610,1731,1596,1583,1637,1631,1706
1745,1782,1648,1736,1715,1672,1655,1608,1731,1596,1583,1635,1621,1705
1743,1779,1663,1737,1716,1667,1651,1606,1731,1596,1584,1632,1604,1714
1746,1776,1670,1734,1710,1669,1639,1606,1731,1597,1586,1635,1612,1726
1747,1774,1657,1735,1694,1668,1630,1610,1731,1597,1588,1636,1623,1725
1747,1775,1652,1740,1680,1666,1631,1606,1731,1596,1585,1630,1622,1722
1749,1776,1661,1736,1682,1663,1631,1605,1731,1608,1584,1632,1629,1724
1748,1776,1668,1727,1680,1655,1629,1607,1731,1620,1590,1639,1623,1725
1745,1777,1670,1727,1681,1651,1633,1604,1731,1607,1589,1633,1603,1724
1748,1778,1674,1731,1686,1643,1640,1616,1731,1591,1583,1629,1610,1724
1747,1777,1673,1727,1671,1635,1638,1628,1731,1595,1583,1639,1630,1723
1747,1776,1669,1725,1653,1637,1624,1613,1731,1598,1583,1645,1636,1724
1747,1775,1664,1729,1664,1637,1618,1602,1731,1594,1582,1638,1628,1724
1747,1776,1660,1729,1683,1640,1630,1607,1731,1593,1585,1636,1614,1723
1747,1774,1655,1729,1680,1648,1638,1603,1731,1599,1588,1641,1607,1724
1748,1774,1656,1725,1678,1647,1632,1596,1731,1609,1585,1628,1611,1723
