@relation rest

@attribute AF3 numeric
@attribute F7 numeric
@attribute F3 numeric
@attribute FC5 numeric
@attribute T7 numeric
@attribute P7 numeric
@attribute O1 numeric
@attribute O2 numeric
@attribute P8 numeric
@attribute T8 numeric
@attribute FC6 numeric
@attribute F4 numeric
@attribute F8 numeric
@attribute AF4 numeric
@attribute Class {rest,rarmup,larmup,barmup}

@data
-137,-87,-113,-591,105,-215,-153,-938,-184,-131,-206,-182,-139,24,rest
-2,-104,-190,-1049,-141,-35,-246,-201,-180,-165,-238,-275,-252,-39,rest
1,-95,-182,-1051,-138,-38,-245,-214,-178,-165,-241,-274,-252,-37,rest
14,-98,-182,-1051,-137,-50,-245,-215,-186,-165,-251,-266,-252,-35,rest
13,-105,-189,-1047,-138,-51,-245,-209,-188,-164,-247,-275,-252,-36,rest
1,-100,-189,-1043,-137,-52,-245,-215,-177,-163,-239,-282,-252,-38,rest
3,-101,-191,-1044,-138,-65,-244,-221,-178,-163,-240,-265,-252,-40,rest
12,-101,-202,-1045,-140,-67,-246,-219,-175,-164,-236,-259,-253,-37,rest
4,-86,-208,-1046,-125,-47,-246,-217,-153,-163,-216,-278,-251,-30,rest
-7,-74,-209,-1051,-107,-30,-243,-220,-143,-164,-202,-283,-251,-28,rest
0,-72,-207,-1048,-109,-32,-248,-220,-151,-165,-208,-272,-259,-33,rest
11,-70,-193,-1042,-110,-29,-259,-205,-142,-163,-209,-270,-258,-33,rest
10,-63,-174,-1045,-101,-8,-255,-194,-122,-161,-189,-275,-251,-29,rest
6,-54,-170,-1049,-97,4,-246,-199,-114,-164,-171,-269,-252,-31,rest
3,-56,-176,-1050,-97,0,-249,-198,-122,-166,-182,-259,-256,-37,rest
0,-68,-171,-1053,-106,-11,-249,-190,-137,-165,-205,-256,-254,-40,rest
1,-78,-176,-1047,-123,-28,-243,-191,-149,-165,-214,-262,-253,-39,rest
-1,-71,-181,-1039,-122,-28,-247,-195,-150,-165,-213,-276,-253,-33,rest
-1,-46,-152,-1045,-100,-1,-248,-191,-132,-165,-205,-275,-251,-26,rest
-1,-39,-134,-1052,-101,3,-244,-190,-123,-165,-203,-267,-251,-34,rest
0,-63,-162,-1047,-127,-27,-249,-201,-142,-165,-216,-270,-250,-44,rest
0,-61,-186,-1047,-136,-38,-249,-215,-156,-165,-225,-267,-250,-43,rest
7,-31,-175,-1046,-129,-16,-245,-212,-145,-165,-213,-262,-251,-44,rest
15,-42,-174,-1040,-129,-13,-251,-208,-142,-165,-217,-276,-251,-60,rest
11,-70,-194,-1044,-137,-33,-253,-215,-151,-165,-236,-281,-251,-67,rest
8,-66,-191,-1048,-136,-38,-245,-213,-149,-165,-227,-267,-251,-50,rest
11,-62,-178,-1045,-131,-31,-242,-205,-147,-165,-216,-270,-251,-39,rest
12,-70,-182,-1046,-133,-37,-244,-207,-149,-165,-229,-278,-251,-48,rest
10,-74,-185,-1049,-140,-58,-245,-211,-161,-165,-244,-274,-251,-59,rest
12,-71,-185,-1045,-140,-63,-245,-212,-176,-164,-239,-274,-250,-60,rest
11,-77,-196,-1044,-139,-60,-243,-215,-183,-165,-238,-275,-251,-61,rest
8,-96,-213,-1047,-162,-87,-244,-218,-202,-165,-258,-274,-252,-67,rest
7,-105,-217,-1048,-179,-110,-240,-216,-221,-164,-274,-275,-252,-69,rest
2,-95,-192,-1049,-167,-88,-228,-211,-211,-164,-267,-275,-252,-67,rest
6,-93,-178,-1049,-165,-82,-229,-212,-200,-165,-262,-271,-252,-68,rest
10,-100,-205,-1048,-180,-105,-234,-221,-213,-165,-272,-271,-252,-70,rest
0,-96,-220,-1049,-176,-100,-228,-218,-213,-164,-269,-275,-252,-67,rest
9,-66,-174,-1023,-165,-56,-243,-188,-154,-164,-236,-267,-255,-70,rest
12,-69,-176,-1024,-170,-60,-243,-188,-169,-163,-241,-274,-255,-74,rest
12,-72,-179,-1020,-173,-69,-243,-188,-183,-165,-257,-277,-255,-81,rest
9,-79,-177,-1024,-168,-72,-245,-188,-179,-165,-266,-260,-255,-87,rest
8,-88,-181,-1039,-170,-86,-245,-191,-182,-164,-265,-261,-255,-93,rest
11,-78,-170,-1044,-180,-97,-243,-192,-181,-165,-263,-277,-255,-94,rest
11,-75,-149,-1039,-183,-87,-246,-189,-175,-165,-263,-275,-255,-95,rest
8,-91,-154,-1038,-175,-77,-245,-187,-182,-165,-264,-269,-255,-87,rest
7,-85,-168,-1042,-165,-66,-236,-192,-175,-165,-255,-272,-255,-70,rest
6,-72,-164,-1041,-166,-57,-235,-194,-166,-165,-247,-276,-255,-73,rest
6,-93,-166,-1040,-177,-76,-245,-189,-178,-165,-264,-274,-255,-96,rest
5,-111,-183,-1040,-196,-102,-248,-188,-190,-165,-281,-265,-255,-100,rest
5,-104,-184,-1039,-201,-99,-243,-194,-187,-165,-276,-259,-255,-92,rest
10,-92,-161,-1040,-183,-78,-243,-193,-181,-165,-271,-271,-255,-97,rest
9,-84,-115,-1021,-169,-123,-229,-174,-212,-164,-264,-271,-264,-53,rest
11,-71,-108,-1021,-163,-118,-228,-177,-208,-165,-235,-269,-261,-32,rest
14,-77,-124,-1021,-162,-120,-230,-188,-208,-165,-213,-275,-254,-38,rest
11,-92,-147,-1021,-168,-130,-229,-193,-214,-165,-216,-281,-255,-62,rest
10,-98,-152,-1021,-172,-141,-228,-184,-221,-165,-221,-280,-272,-69,rest
10,-92,-140,-1021,-169,-137,-230,-181,-218,-165,-210,-277,-276,-55,rest
10,-94,-145,-1021,-178,-137,-232,-194,-217,-165,-210,-277,-265,-59,rest
11,-94,-147,-1021,-181,-139,-230,-187,-222,-165,-213,-278,-266,-63,rest
12,-77,-129,-1021,-164,-114,-230,-168,-206,-165,-195,-277,-274,-43,rest
11,-66,-128,-1021,-158,-88,-232,-170,-182,-165,-180,-275,-273,-32,rest
11,-65,-142,-1021,-161,-88,-231,-181,-180,-165,-188,-277,-271,-47,rest
12,-41,-152,-1025,147,95,-230,-183,116,-168,155,-278,-276,3,rest
13,-48,-163,-1026,148,68,-230,-190,97,-167,147,-278,-275,-1,rest
12,-58,-193,-1025,149,52,-232,-195,82,-165,147,-278,-274,-9,rest
15,-39,-159,-1022,170,74,-229,-186,108,-165,172,-278,-274,9,rest
12,-33,-133,-1021,179,89,-229,-187,123,-166,185,-278,-272,19,rest
9,-68,-168,-1021,131,48,-242,-193,78,-165,139,-278,-272,-3,rest
16,-56,-150,-1020,106,29,-241,-173,59,-165,103,-278,-273,2,rest
16,-4,-90,-1020,132,67,-229,-153,89,-166,121,-278,-274,37,rest
13,-17,-101,-1022,117,70,-237,-160,81,-163,111,-278,-273,37,rest
15,-45,-132,-1021,60,25,-252,-172,34,-162,54,-278,-272,13,rest
14,-35,-117,-1021,31,-3,-238,-180,6,-163,8,-278,-270,2,rest
9,-48,-117,-1021,7,-20,-226,-186,-20,-164,-23,-278,-270,-2,rest
10,-70,-141,-1021,-34,-49,-239,-184,-61,-162,-66,-278,-271,-2,rest
13,-76,-152,-1021,-73,-85,-249,-185,-111,-164,-122,-278,-270,-17,rest
14,-91,-145,-1021,-107,-111,-246,-189,-148,-166,-163,-278,-270,-40,rest
14,-99,-138,-1021,-122,-114,-236,-181,-156,-165,-179,-278,-270,-41,rest
20,-247,-253,-1044,-365,-326,-243,-197,-429,-165,-458,-277,-273,-183,rest
21,-254,-266,-1042,-380,-333,-243,-211,-433,-166,-475,-275,-274,-190,rest
22,-236,-273,-1041,-381,-316,-243,-201,-425,-165,-480,-276,-274,-191,rest
20,-235,-278,-1045,-390,-321,-243,-191,-438,-163,-477,-278,-274,-199,rest
16,-244,-281,-1047,-396,-328,-242,-204,-451,-165,-483,-278,-274,-203,rest
18,-245,-270,-1048,-382,-323,-243,-211,-440,-167,-483,-277,-274,-191,rest
18,-249,-263,-1050,-387,-330,-243,-193,-436,-163,-481,-278,-274,-187,rest
17,-238,-267,-1051,-389,-329,-242,-196,-433,-163,-481,-278,-274,-192,rest
17,-222,-264,-1050,-376,-315,-242,-213,-426,-167,-480,-277,-274,-189,rest
15,-243,-271,-1051,-386,-318,-247,-198,-437,-163,-485,-276,-274,-185,rest
14,-254,-283,-1051,-399,-326,-249,-186,-447,-159,-488,-276,-274,-189,rest
16,-235,-276,-1051,-397,-326,-247,-206,-447,-161,-483,-276,-274,-195,rest
19,-244,-268,-1051,-394,-329,-245,-213,-455,-164,-484,-277,-274,-194,rest
16,-245,-288,-1054,-364,-313,-245,-211,-416,-165,-464,-281,-275,-200,rest
15,-249,-306,-1054,-366,-313,-249,-212,-414,-165,-464,-281,-275,-205,rest
12,-248,-319,-1054,-366,-318,-250,-215,-407,-165,-474,-281,-275,-208,rest
14,-251,-318,-1054,-367,-320,-248,-220,-407,-165,-466,-282,-275,-205,rest
15,-255,-315,-1054,-359,-320,-249,-220,-408,-165,-455,-280,-275,-202,rest
22,-237,-303,-1054,-348,-308,-249,-214,-389,-164,-454,-278,-275,-202,rest
26,-216,-294,-1054,-344,-287,-249,-210,-373,-164,-440,-278,-275,-199,rest
19,-226,-297,-1054,-348,-290,-249,-212,-384,-164,-430,-280,-275,-196,rest
