AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
-6233,-3523,5558,6830,-550,5128,1372,-5341,-4115,-5635,2711,224,-1102,-5862
-6233,-3523,5558,6830,-550,5128,1372,-5341,-4115,-5635,2711,224,-1102,-5862
-1393,-666,-682,208,-74,-443,-1162,-64,-870,-972,-422,-122,288,-508
-1395,-667,-683,208,-75,-443,-1163,-64,-871,-973,-422,-122,288,-509
-1418,-674,-693,217,-81,-446,-1174,-64,-881,-986,-422,-117,300,-520
-1453,-685,-707,231,-90,-450,-1190,-61,-895,-1005,-422,-109,317,-536
-1395,-665,-683,208,-73,-441,-1162,-64,-872,-974,-420,-123,288,-509
-1410,-674,-693,215,-81,-445,-1172,-65,-879,-982,-423,-118,298,-517
-1488,-697,-720,246,-101,-456,-1207,-58,-908,-1024,-422,-101,334,-552
-1056,-553,-533,74,23,-405,-1000,-75,-732,-785,-416,-196,115,-352
-324,-325,-234,-218,216,-334,-658,-118,-426,-374,-434,-356,-245,-10
-134,-269,-141,-294,255,-334,-571,-137,-319,-261,-460,-398,-342,88
-307,-324,-191,-226,203,-360,-660,-127,-385,-359,-460,-360,-264,12
-271,-311,-179,-247,235,-349,-637,-126,-393,-345,-450,-365,-281,27
-214,-291,-173,-275,269,-341,-601,-129,-368,-309,-456,-383,-306,56
-285,-316,-208,-241,238,-350,-637,-124,-380,-345,-458,-373,-272,25
-291,-331,-217,-227,229,-349,-642,-123,-399,-352,-451,-365,-272,18
-287,-339,-211,-214,242,-348,-627,-124,-422,-348,-461,-359,-279,22
-294,-339,-192,-205,233,-349,-625,-123,-422,-351,-485,-357,-266,21
-284,-338,-178,-209,220,-349,-628,-124,-423,-347,-487,-358,-257,24
-286,-343,-178,-207,237,-346,-628,-124,-443,-348,-470,-362,-261,20
-291,-350,-180,-223,252,-352,-623,-124,-430,-347,-462,-372,-263,20
-285,-355,-185,-248,233,-376,-625,-124,-395,-346,-469,-371,-247,22
-268,-350,-180,-241,215,-383,-643,-124,-393,-346,-480,-361,-250,23
-271,-333,-172,-232,232,-383,-648,-124,-417,-344,-484,-363,-269,24
-281,-328,-178,-244,255,-381,-630,-124,-418,-346,-484,-375,-267,24
-283,-339,-190,-227,256,-363,-617,-124,-408,-351,-485,-379,-262,23
-281,-335,-166,-229,248,-382,-640,-124,-400,-350,-464,-366,-259,23
-281,-332,-147,-262,246,-390,-660,-124,-400,-347,-443,-363,-258,24
-282,-357,-186,-224,254,-314,-643,-124,-407,-353,-472,-381,-268,24
-289,-378,-225,-176,261,-271,-626,-124,-387,-356,-492,-391,-273,21
-292,-380,-199,-215,260,-317,-635,-124,-360,-348,-469,-384,-269,19
-285,-397,-163,-249,259,-328,-636,-124,-366,-346,-471,-374,-273,20
-288,-413,-168,-239,270,-304,-610,-124,-386,-351,-483,-371,-270,22
-290,-407,-176,-252,285,-326,-596,-124,-399,-351,-448,-375,-252,23
-290,-407,-170,-274,290,-357,-601,-124,-404,-351,-431,-380,-258,22
-288,-403,-170,-284,289,-355,-602,-124,-405,-351,-450,-375,-280,23
