AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
23,26,2,40,31,95,-120,24,22,-376,-46,-59,-276,36
10,-6,2,23,109,44,-120,33,63,-370,66,-56,-246,54
10,-11,-3,23,93,29,-119,28,49,-371,75,-56,-244,40
10,-15,-12,23,85,27,-120,27,44,-370,58,-56,-245,37
10,-9,-8,23,92,38,-120,30,49,-374,45,-56,-244,38
10,-6,2,23,96,41,-118,30,49,-375,59,-56,-244,33
10,-9,3,22,93,39,-119,29,49,-375,80,-56,-251,33
10,-7,4,24,95,48,-121,31,44,-375,78,-56,-251,33
10,0,10,27,96,62,-122,32,36,-370,57,-56,-246,34
10,1,9,26,92,65,-122,29,41,-370,49,-56,-250,37
10,0,6,24,91,61,-121,30,50,-373,53,-56,-253,30
10,-1,10,30,99,58,-120,32,46,-370,56,-57,-248,30
10,1,7,38,105,58,-120,32,45,-371,63,-58,-244,43
10,0,-12,37,96,58,-118,29,51,-376,63,-55,-245,42
10,-5,-24,28,85,53,-116,30,45,-374,54,-52,-250,30
10,-9,-20,22,79,42,-116,32,33,-367,49,-55,-250,27
9,-6,-17,23,84,35,-122,29,32,-370,45,-58,-246,33
10,-5,-19,27,100,34,-114,26,38,-377,49,-57,-249,45
10,-8,-22,26,101,33,-99,25,36,-375,65,-57,-252,52
9,-10,-21,21,84,27,-106,27,21,-366,65,-58,-246,34
10,-11,-9,22,76,23,-123,26,5,-370,40,-57,-245,19
13,-11,6,26,81,25,-120,25,-2,-378,19,-55,-247,42
15,-8,5,26,83,29,-117,28,9,-372,24,-56,-243,58
13,-3,2,25,84,28,-124,32,19,-367,27,-58,-244,43
12,-3,6,26,83,28,-121,31,10,-372,11,-57,-250,31
14,-9,8,26,80,31,-117,28,-4,-372,-7,-57,-250,33
12,-13,9,26,81,29,-115,27,-2,-369,-33,-57,-246,32
8,-11,8,26,82,24,-107,28,1,-370,-51,-57,-246,26
10,-7,4,25,80,26,-112,31,2,-372,-47,-59,-247,28
10,-4,0,26,79,36,-120,33,13,-373,-49,-60,-244,32
10,-3,-16,26,74,38,-119,31,12,-373,-67,-58,-246,32
12,3,-26,26,67,39,-119,31,5,-372,-74,-57,-247,28
11,22,-12,25,70,56,-109,35,16,-370,-69,-58,-245,27
11,24,-8,27,77,61,-96,35,19,-372,-74,-59,-247,28
13,2,-24,27,70,37,-110,30,-1,-374,-86,-56,-248,27
12,-7,-16,22,61,25,-125,28,-7,-374,-109,-53,-245,26
11,-1,7,21,57,35,-119,32,-5,-373,-124,-53,-245,25
12,-6,6,25,52,34,-124,33,-20,-371,-111,-53,-246,22
11,-12,3,24,51,28,-115,31,-32,-371,-92,-53,-244,20
11,-6,11,23,52,33,-94,30,-27,-371,-79,-56,-247,22
11,-3,8,25,52,33,-108,31,-25,-370,-70,-61,-245,24
11,-6,5,24,48,31,-129,32,-30,-369,-64,-61,-243,22
11,-7,7,24,42,31,-122,31,-29,-369,-75,-59,-247,20
11,-5,7,25,46,31,-120,30,-23,-370,-101,-59,-248,19
13,-3,3,26,53,31,-125,30,-14,-372,-102,-60,-245,21
14,-4,4,26,55,33,-118,31,-11,-373,-74,-58,-245,27
11,-5,6,23,55,32,-115,34,-21,-370,-64,-56,-245,27
8,-6,5,26,55,27,-119,33,-26,-368,-76,-55,-242,24
9,-6,5,34,53,31,-118,29,-13,-371,-63,-56,-242,27
13,-3,4,29,59,41,-118,41,9,-370,-28,-55,-242,31
14,1,7,20,66,39,-118,53,15,-369,-19,-54,-240,28
11,-2,9,23,57,30,-117,41,6,-370,-31,-54,-241,23
10,-8,7,24,46,27,-118,25,0,-369,-40,-54,-242,22
9,-4,7,20,48,33,-120,39,9,-371,-47,-53,-242,26
10,3,12,21,54,37,-121,53,19,-373,-59,-53,-244,30
11,-2,10,24,54,31,-117,37,15,-370,-59,-55,-247,25
11,-10,-1,23,54,36,-118,34,18,-369,-44,-57,-246,22
11,0,-5,23,55,55,-117,47,36,-372,-35,-58,-243,30
