AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
268,-100,-87,-740,-71,-26,-799,-33,-93,-288,-115,-772,-1303,-77
224,-87,-92,-699,-73,-47,-826,-6,-74,-289,-104,-772,-1345,-49
227,-79,-83,-703,-62,-39,-831,-1,-55,-291,-92,-772,-1345,-30
226,-69,-80,-709,-73,-29,-829,-6,-67,-308,-94,-772,-1345,-41
216,-73,-73,-695,-56,-21,-808,-10,-78,-294,-116,-774,-1354,-60
216,-62,-58,-695,-37,5,-810,-7,-54,-289,-89,-775,-1353,-39
231,-68,-54,-706,-38,5,-815,-8,-52,-284,-88,-773,-1356,-44
225,-73,-63,-703,-41,-11,-814,-6,-64,-301,-101,-772,-1355,-58
212,-71,-74,-693,-41,-4,-807,-17,-61,-313,-96,-778,-1352,-59
214,-67,-81,-693,-44,6,-807,-24,-54,-311,-95,-770,-1355,-63
214,-70,-78,-696,-52,-1,-815,-19,-67,-302,-112,-758,-1356,-71
215,-74,-81,-695,-51,-3,-816,-26,-73,-291,-114,-768,-1355,-66
228,-72,-88,-696,-46,2,-811,-29,-65,-287,-98,-779,-1356,-62
237,-71,-81,-697,-57,4,-810,-13,-73,-291,-101,-774,-1354,-64
230,-77,-75,-697,-75,-7,-812,-11,-91,-290,-120,-773,-1352,-65
224,-81,-80,-697,-72,-15,-809,-27,-94,-289,-123,-778,-1353,-62
227,-77,-81,-697,-57,-9,-806,-22,-87,-287,-113,-776,-1352,-56
228,-75,-79,-694,-50,-4,-808,-6,-85,-289,-106,-775,-1349,-55
225,-76,-78,-695,-40,-1,-810,-3,-83,-303,-100,-774,-1348,-60
227,-75,-82,-697,-41,-8,-809,-10,-85,-314,-98,-770,-1350,-60
230,-74,-89,-696,-60,-27,-812,-11,-90,-302,-104,-771,-1348,-60
226,-71,-92,-698,-59,-22,-812,-6,-84,-293,-102,-771,-1348,-62
225,-64,-91,-700,-40,1,-809,-10,-70,-298,-92,-771,-1353,-50
230,-61,-91,-698,-39,3,-811,-15,-57,-299,-84,-771,-1358,-38
232,-62,-92,-694,-45,0,-815,-18,-61,-300,-83,-771,-1355,-34
231,-66,-93,-695,-46,1,-814,-24,-77,-306,-93,-771,-1352,-36
230,-68,-94,-695,-65,-10,-812,-31,-93,-307,-116,-771,-1352,-53
229,-68,-92,-695,-77,-12,-811,-22,-88,-306,-126,-771,-1353,-70
228,-67,-86,-695,-67,2,-810,-3,-70,-309,-106,-771,-1349,-64
227,-69,-85,-695,-70,-2,-808,-5,-76,-299,-102,-771,-1347,-61
226,-70,-90,-695,-67,-5,-807,-15,-91,-290,-115,-771,-1352,-64
226,-66,-87,-695,-45,13,-809,-10,-75,-305,-102,-772,-1353,-46
227,-55,-79,-695,-35,28,-812,-5,-53,-313,-79,-771,-1349,-34
227,-43,-81,-695,-42,30,-810,-8,-59,-297,-82,-771,-1349,-41
230,-41,-86,-695,-40,28,-809,-8,-65,-294,-88,-774,-1354,-40
229,-48,-83,-695,-35,20,-811,-10,-55,-299,-76,-768,-1353,-32
226,-49,-81,-695,-39,6,-814,-12,-52,-298,-67,-757,-1346,-32
228,-57,-88,-695,-39,8,-815,-10,-55,-298,-65,-756,-1351,-34
225,-66,-89,-695,-37,13,-810,-9,-56,-299,-67,-760,-1356,-35
222,-51,-78,-695,-38,6,-807,-8,-54,-300,-67,-757,-1349,-35
225,-36,-60,-693,-36,33,-806,-24,-9,-308,-65,-776,-1355,-37
225,-36,-73,-693,-35,36,-808,-11,1,-307,-59,-772,-1353,-32
221,-39,-88,-693,-44,28,-807,-18,-7,-309,-81,-770,-1360,-45
223,-40,-87,-693,-45,29,-807,-33,-11,-309,-81,-771,-1364,-55
224,-43,-86,-693,-43,27,-807,-21,-13,-307,-71,-771,-1362,-56
222,-46,-90,-693,-53,17,-807,-7,-29,-306,-82,-771,-1365,-64
229,-43,-77,-693,-55,19,-807,-6,-31,-308,-93,-771,-1364,-59
228,-40,-56,-693,-45,28,-808,-3,-18,-306,-83,-771,-1353,-41
221,-41,-55,-693,-44,28,-810,0,-20,-305,-71,-771,-1351,-35
222,-44,-64,-693,-49,25,-812,-5,-27,-310,-71,-771,-1354,-43
220,-45,-61,-693,-43,29,-811,-5,-20,-304,-71,-771,-1353,-42
221,-40,-58,-692,-39,35,-811,-1,-4,-294,-63,-771,-1353,-38
227,-36,-73,-692,-44,37,-814,-4,1,-301,-60,-771,-1354,-41
224,-40,-90,-693,-48,32,-812,-9,-7,-312,-66,-771,-1353,-45
219,-40,-86,-692,-44,28,-809,-9,-6,-308,-62,-771,-1358,-43
229,-36,-74,-692,-39,37,-809,-7,7,-306,-49,-771,-1365,-36
231,-38,-78,-698,-39,35,-806,-11,9,-311,-44,-772,-1365,-32
225,-44,-80,-700,-39,25,-806,-10,1,-309,-46,-772,-1363,-35
228,-44,-73,-695,-35,28,-809,-3,3,-305,-45,-770,-1362,-33
226,-37,-72,-693,-44,26,-811,-3,-7,-304,-59,-771,-1363,-35
219,-40,-79,-697,-66,6,-810,-6,-26,-306,-85,-772,-1363,-48
222,-64,-84,-697,-76,-7,-811,-5,-35,-307,-92,-763,-1363,-61
226,-68,-72,-696,-71,-3,-811,-4,-37,-306,-87,-752,-1360,-64
223,-48,-59,-697,-70,5,-810,-1,-28,-307,-85,-757,-1361,-59
222,-52,-69,-697,-70,9,-811,-7,-29,-308,-93,-770,-1363,-60
219,-75,-87,-697,-78,-2,-811,-27,-53,-305,-105,-774,-1367,-65
209,-82,-88,-697,-91,-20,-813,-37,-68,-308,-115,-779,-1363,-69
217,-76,-82,-697,-85,-14,-814,-24,-56,-307,-116,-774,-1355,-68
223,-67,-64,-696,-73,5,-813,-1,-55,-307,-102,-753,-1354,-31
222,-77,-56,-697,-72,0,-813,-9,-62,-306,-113,-753,-1352,-48
223,-79,-59,-697,-76,5,-814,-23,-60,-305,-125,-756,-1355,-62
