AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
32,-16,6,38,17,1,-201,42,3,-410,14,-66,-464,24
36,-15,-30,21,111,57,-186,37,-7,-413,-71,-63,-438,7
30,-17,-32,22,105,57,-186,46,-12,-413,-73,-64,-437,-9
29,-12,-31,26,104,58,-186,59,-13,-413,-70,-63,-443,-4
33,-3,-26,28,116,68,-186,57,-5,-414,-64,-62,-436,15
34,-2,-26,24,124,73,-186,54,1,-414,-49,-62,-436,24
31,-8,-30,23,116,63,-186,58,-8,-413,-47,-63,-448,26
32,4,-25,37,111,73,-186,59,-15,-414,-69,-62,-451,22
32,20,-32,42,117,95,-186,56,-10,-414,-71,-62,-448,9
30,10,-45,28,122,87,-186,55,-7,-409,-50,-62,-448,7
31,-5,-38,23,120,67,-186,52,-12,-406,-52,-62,-449,14
31,-6,-22,29,117,63,-186,48,-15,-410,-60,-62,-448,10
27,-4,-29,26,112,61,-186,51,-19,-409,-48,-62,-446,0
29,-4,-45,21,112,58,-185,43,-22,-405,-39,-62,-449,7
32,-8,-48,24,115,59,-185,28,-25,-407,-44,-62,-457,17
31,-9,-52,23,114,63,-185,36,-26,-408,-45,-62,-458,20
31,7,-51,23,118,73,-185,45,-17,-408,-37,-63,-456,24
31,13,-42,26,121,77,-185,32,-10,-407,-42,-61,-460,26
31,-3,-45,26,115,66,-185,27,-21,-407,-66,-63,-451,20
35,-11,-55,21,103,55,-185,33,-45,-411,-91,-70,-441,5
29,-14,-52,22,91,43,-185,29,-62,-412,-103,-67,-451,-5
21,-18,-44,26,81,32,-185,30,-63,-409,-105,-60,-459,-4
25,-14,-49,27,80,35,-185,35,-61,-410,-104,-61,-457,-4
35,-12,-42,27,83,39,-185,33,-66,-414,-105,-65,-454,-5
32,-16,-26,26,81,37,-184,34,-73,-411,-107,-61,-444,-3
25,-15,-25,25,81,40,-184,34,-70,-407,-104,-60,-435,-4
29,-14,-25,28,91,39,-185,34,-72,-410,-98,-62,-435,-4
28,-13,-23,29,101,39,-185,35,-80,-411,-101,-61,-441,2
22,-12,-29,31,107,46,-184,30,-82,-411,-105,-61,-451,3
26,-11,-31,37,107,52,-184,26,-71,-412,-97,-61,-460,-3
33,-6,-30,40,107,54,-185,26,-61,-408,-87,-61,-458,5
31,-5,-43,36,114,59,-182,26,-57,-404,-86,-61,-454,20
32,-7,-48,34,122,60,-180,27,-59,-405,-87,-61,-458,25
41,-4,-36,35,118,56,-183,30,-63,-406,-81,-61,-460,17
33,-2,-41,35,113,55,-184,32,-61,-406,-76,-61,-451,6
23,-7,-56,34,110,56,-182,32,-62,-406,-85,-61,-445,0
26,-14,-47,33,107,56,-182,31,-68,-406,-99,-61,-456,3
31,-5,-28,37,114,61,-185,30,-58,-406,-100,-61,-460,13
34,7,-29,41,125,72,-185,33,-42,-408,-87,-61,-451,22
33,7,-36,39,120,71,-184,34,-46,-408,-85,-61,-454,19
32,2,-32,38,118,64,-185,30,-52,-408,-91,-61,-452,6
37,1,-29,38,123,70,-184,26,-40,-408,-89,-61,-436,3
38,7,-28,32,118,74,-184,28,-36,-408,-85,-61,-433,5
31,12,-25,23,110,79,-185,32,-39,-408,-86,-61,-437,-2
29,18,-24,27,111,90,-184,31,-30,-408,-86,-61,-432,-3
33,21,-25,38,110,92,-184,30,-25,-408,-85,-62,-427,-2
30,11,-23,41,104,84,-184,33,-30,-408,-86,-61,-430,-5
23,-3,-25,38,93,79,-184,33,-29,-408,-88,-59,-430,-6
23,-4,-28,38,82,70,-183,30,-31,-408,-84,-59,-429,-7
29,2,-26,35,80,61,-181,30,-26,-408,-75,-61,-430,-3
31,-4,-25,37,79,73,-182,28,-15,-408,-72,-61,-430,-1
27,-2,-27,39,86,81,-186,27,-13,-408,-77,-61,-430,-6
28,14,-28,27,108,82,-187,29,-6,-408,-72,-61,-429,7
32,11,-24,27,117,79,-185,29,4,-408,-55,-61,-429,21
28,-8,-27,47,95,71,-184,24,2,-408,-54,-61,-431,10
27,-14,-45,54,87,64,-185,22,-5,-408,-67,-62,-428,-1
30,-8,-55,46,95,61,-182,22,-7,-408,-70,-60,-430,6
32,-8,-53,46,84,59,-180,18,-8,-408,-65,-61,-442,9
32,-10,-55,49,75,59,-182,17,-2,-407,-67,-64,-452,4
33,-7,-58,51,83,61,-184,22,6,-407,-71,-63,-451,7
33,-4,-46,45,86,60,-186,24,6,-408,-65,-61,-444,10
31,-6,-31,26,77,57,-184,20,5,-408,-69,-61,-436,4
32,-13,-28,21,77,57,-181,20,-2,-407,-85,-61,-432,-1
33,-13,-29,28,84,58,-180,23,-6,-409,-79,-58,-435,4
32,-10,-28,28,80,52,-183,19,-6,-411,-69,-58,-435,5
25,-16,-28,23,61,37,-184,19,-17,-411,-89,-59,-439,-2
20,-20,-30,23,56,38,-181,23,-24,-410,-100,-59,-451,-5
27,-17,-30,28,70,52,-182,23,-16,-409,-91,-59,-454,0
34,-10,-34,29,79,57,-185,24,-5,-408,-108,-61,-450,14
32,-8,-47,26,79,56,-185,28,-2,-407,-129,-62,-448,26
32,-12,-55,36,73,57,-183,26,-2,-408,-115,-61,-450,16
29,-14,-55,41,58,53,-182,22,-2,-411,-99,-61,-451,-2
19,-9,-52,30,50,52,-183,23,-1,-411,-94,-61,-452,1
22,-3,-40,29,53,64,-183,25,7,-408,-86,-61,-452,15
34,-4,-24,40,52,67,-181,28,18,-407,-75,-61,-450,9
34,-11,-29,38,47,57,-179,30,22,-408,-70,-61,-453,3
26,1,-34,32,47,69,-181,30,21,-408,-74,-61,-452,17
25,18,-21,35,52,88,-181,32,27,-410,-78,-61,-440,21
32,7,-27,37,53,71,-178,33,27,-410,-71,-61,-432,0
36,-11,-51,36,47,60,-180,34,16,-408,-70,-61,-433,-6
26,-6,-44,36,48,86,-183,35,17,-408,-83,-61,-436,14
20,0,-20,34,63,97,-183,34,24,-408,-80,-61,-439,24
26,-6,-18,36,71,86,-182,33,26,-408,-70,-61,-437,22
