AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
-137,-87,-113,-591,105,-215,-153,-938,-184,-131,-206,-182,-139,24
-2,-104,-190,-1049,-141,-35,-246,-201,-180,-165,-238,-275,-252,-39
1,-95,-182,-1051,-138,-38,-245,-214,-178,-165,-241,-274,-252,-37
14,-98,-182,-1051,-137,-50,-245,-215,-186,-165,-251,-266,-252,-35
13,-105,-189,-1047,-138,-51,-245,-209,-188,-164,-247,-275,-252,-36
1,-100,-189,-1043,-137,-52,-245,-215,-177,-163,-239,-282,-252,-38
3,-101,-191,-1044,-138,-65,-244,-221,-178,-163,-240,-265,-252,-40
12,-101,-202,-1045,-140,-67,-246,-219,-175,-164,-236,-259,-253,-37
4,-86,-208,-1046,-125,-47,-246,-217,-153,-163,-216,-278,-251,-30
-7,-74,-209,-1051,-107,-30,-243,-220,-143,-164,-202,-283,-251,-28
0,-72,-207,-1048,-109,-32,-248,-220,-151,-165,-208,-272,-259,-33
11,-70,-193,-1042,-110,-29,-259,-205,-142,-163,-209,-270,-258,-33
10,-63,-174,-1045,-101,-8,-255,-194,-122,-161,-189,-275,-251,-29
6,-54,-170,-1049,-97,4,-246,-199,-114,-164,-171,-269,-252,-31
3,-56,-176,-1050,-97,0,-249,-198,-122,-166,-182,-259,-256,-37
0,-68,-171,-1053,-106,-11,-249,-190,-137,-165,-205,-256,-254,-40
1,-78,-176,-1047,-123,-28,-243,-191,-149,-165,-214,-262,-253,-39
-1,-71,-181,-1039,-122,-28,-247,-195,-150,-165,-213,-276,-253,-33
-1,-46,-152,-1045,-100,-1,-248,-191,-132,-165,-205,-275,-251,-26
-1,-39,-134,-1052,-101,3,-244,-190,-123,-165,-203,-267,-251,-34
0,-63,-162,-1047,-127,-27,-249,-201,-142,-165,-216,-270,-250,-44
0,-61,-186,-1047,-136,-38,-249,-215,-156,-165,-225,-267,-250,-43
7,-31,-175,-1046,-129,-16,-245,-212,-145,-165,-213,-262,-251,-44
15,-42,-174,-1040,-129,-13,-251,-208,-142,-165,-217,-276,-251,-60
11,-70,-194,-1044,-137,-33,-253,-215,-151,-165,-236,-281,-251,-67
8,-66,-191,-1048,-136,-38,-245,-213,-149,-165,-227,-267,-251,-50
11,-62,-178,-1045,-131,-31,-242,-205,-147,-165,-216,-270,-251,-39
12,-70,-182,-1046,-133,-37,-244,-207,-149,-165,-229,-278,-251,-48
10,-74,-185,-1049,-140,-58,-245,-211,-161,-165,-244,-274,-251,-59
12,-71,-185,-1045,-140,-63,-245,-212,-176,-164,-239,-274,-250,-60
11,-77,-196,-1044,-139,-60,-243,-215,-183,-165,-238,-275,-251,-61
8,-96,-213,-1047,-162,-87,-244,-218,-202,-165,-258,-274,-252,-67
7,-105,-217,-1048,-179,-110,-240,-216,-221,-164,-274,-275,-252,-69
2,-95,-192,-1049,-167,-88,-228,-211,-211,-164,-267,-275,-252,-67
6,-93,-178,-1049,-165,-82,-229,-212,-200,-165,-262,-271,-252,-68
10,-100,-205,-1048,-180,-105,-234,-221,-213,-165,-272,-271,-252,-70
