AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
40,56,-57,-419,-33,-2,-768,30,-69,-350,-116,-684,-1562,-42
-18,-34,-53,-115,-44,-6,-442,15,-25,-431,-171,-310,-1376,-47
-20,-34,-51,-115,-47,-2,-442,14,-28,-434,-180,-310,-1376,-61
-21,-32,-54,-115,-49,-7,-441,6,-36,-433,-186,-310,-1376,-65
-21,-38,-58,-115,-44,-8,-430,6,-42,-432,-187,-310,-1376,-57
-21,-37,-51,-115,-41,0,-417,17,-33,-434,-188,-310,-1376,-51
-22,-33,-49,-115,-47,-4,-416,4,-43,-433,-202,-310,-1376,-60
-24,-42,-61,-115,-51,-14,-420,-8,-65,-432,-210,-310,-1376,-66
-27,-40,-64,-116,-47,-9,-419,0,-55,-431,-195,-310,-1376,-59
-26,-30,-56,-116,-43,4,-418,-1,-42,-431,-189,-310,-1376,-58
-22,-31,-51,-116,-44,-2,-422,-10,-48,-430,-190,-310,-1376,-60
-25,-39,-50,-116,-43,-12,-418,-9,-47,-432,-181,-310,-1376,-55
-26,-39,-54,-116,-41,-7,-419,7,-43,-434,-184,-310,-1376,-59
-21,-38,-55,-117,-52,-6,-429,16,-52,-435,-200,-310,-1376,-65
-20,-41,-52,-116,-72,-20,-425,2,-61,-437,-206,-310,-1376,-63
-23,-44,-57,-115,-86,-33,-415,-6,-59,-437,-212,-310,-1376,-76
-24,-45,-65,-121,-85,-39,-420,4,-65,-433,-234,-310,-1376,-91
-23,-44,-62,-124,-81,-42,-421,1,-70,-431,-232,-311,-1376,-78
-23,-43,-58,-117,-81,-39,-417,-5,-67,-434,-211,-313,-1376,-64
-19,-42,-58,-111,-71,-31,-427,12,-62,-435,-202,-312,-1376,-68
-18,-43,-55,-112,-51,-30,-430,22,-66,-433,-196,-312,-1376,-68
-23,-60,-57,-113,-43,-39,-416,7,-80,-433,-192,-312,-1376,-63
-27,-72,-61,-112,-47,-45,-416,-4,-87,-433,-201,-312,-1376,-66
-21,-62,-57,-112,-46,-36,-433,5,-79,-433,-194,-310,-1376,-66
-19,-52,-54,-112,-42,-30,-437,9,-77,-432,-173,-310,-1376,-67
-26,-49,-56,-112,-43,-30,-428,-4,-76,-434,-174,-310,-1376,-66
-27,-38,-60,-112,-42,-8,-424,1,-64,-437,-179,-310,-1376,-62
-21,-45,-61,-112,-43,-2,-426,15,-63,-437,-177,-308,-1376,-64
-23,-64,-55,-112,-44,-29,-430,12,-74,-434,-178,-306,-1376,-68
-25,-59,-48,-112,-39,-30,-428,14,-66,-435,-173,-306,-1376,-61
-19,-54,-52,-112,-42,-18,-424,21,-66,-437,-174,-311,-1376,-61
-19,-68,-56,-112,-50,-26,-431,9,-85,-437,-181,-313,-1375,-70
-26,-68,-51,-112,-47,-25,-438,-7,-84,-433,-182,-310,-1374,-69
-24,-61,-52,-112,-43,-21,-431,-2,-80,-431,-183,-306,-1374,-65
-21,-72,-59,-112,-51,-31,-426,4,-93,-435,-189,-309,-1375,-68
-25,-65,-57,-112,-44,-27,-428,-3,-86,-435,-180,-311,-1374,-65
-21,-28,-51,-115,16,65,-439,31,12,-431,-128,-310,-1365,-29
-22,-38,-55,-115,-12,53,-439,23,-5,-431,-151,-309,-1363,-47
-22,-41,-54,-115,-19,43,-439,23,-17,-431,-153,-308,-1364,-56
-19,-40,-55,-115,-5,45,-439,24,-15,-434,-148,-310,-1366,-47
-19,-22,-56,-115,11,59,-439,21,-2,-437,-142,-310,-1364,-34
-22,-10,-53,-114,15,64,-439,23,8,-431,-130,-308,-1361,-36
-23,-17,-65,-116,10,57,-439,25,3,-428,-128,-308,-1368,-41
-24,-21,-74,-117,10,59,-439,5,1,-433,-129,-309,-1377,-34
-22,-23,-62,-116,5,65,-439,-5,4,-433,-126,-308,-1377,-35
-19,-36,-50,-116,-3,62,-439,16,-1,-430,-130,-308,-1374,-41
-18,-41,-55,-118,2,55,-439,26,-8,-432,-134,-308,-1377,-42
-20,-34,-54,-119,13,60,-439,20,-1,-433,-124,-309,-1378,-35
-20,-31,-48,-118,21,66,-439,26,9,-433,-120,-308,-1369,-33
-21,-37,-54,-116,11,48,-440,20,-5,-436,-142,-308,-1363,-50
-22,-44,-58,-116,-7,39,-438,8,-18,-435,-158,-310,-1363,-60
-20,-43,-57,-117,-4,49,-438,11,-12,-432,-148,-307,-1364,-47
-19,-40,-54,-115,12,45,-444,20,-12,-434,-146,-303,-1363,-37
-20,-45,-36,-115,15,38,-433,27,-15,-432,-147,-304,-1362,-41
-20,-45,-28,-118,7,45,-422,27,-9,-430,-134,-307,-1362,-41
-19,-42,-48,-118,-7,45,-436,11,-15,-432,-136,-309,-1368,-36
-20,-50,-58,-116,-12,32,-440,-6,-29,-434,-151,-306,-1375,-38
-22,-66,-53,-116,5,26,-421,-5,-31,-432,-154,-301,-1365,-42
-21,-64,-50,-117,16,36,-425,8,-25,-431,-143,-302,-1353,-37
-21,-46,-43,-116,18,50,-445,22,-26,-431,-133,-309,-1363,-28
-24,-41,-38,-116,22,57,-443,18,-25,-431,-129,-305,-1370,-29
-23,-42,-48,-116,19,57,-438,3,-19,-432,-129,-298,-1367,-35
-21,-38,-41,-117,26,64,-441,7,-16,-431,-128,-305,-1363,-33
-22,-33,-27,-116,42,78,-440,29,-6,-432,-118,-303,-1359,-23
-20,-34,-39,-116,33,79,-441,29,1,-434,-116,-292,-1365,-24
-18,-41,-60,-120,15,66,-441,9,-9,-433,-128,-298,-1375,-37
-19,-45,-61,-120,16,57,-440,8,-16,-432,-130,-311,-1378,-41
-19,-37,-48,-114,24,67,-441,21,-9,-435,-114,-305,-1373,-32
-19,-40,-44,-114,24,71,-440,27,-13,-435,-110,-289,-1371,-26
-19,-65,-54,-119,23,51,-441,18,-32,-432,-129,-293,-1364,-29
-20,-73,-56,-115,19,45,-442,4,-36,-434,-137,-305,-1361,-32
-18,-60,-50,-113,17,56,-442,-4,-28,-434,-134,-307,-1365,-29
-18,-64,-55,-120,15,47,-442,-6,-31,-431,-142,-304,-1365,-30
-19,-75,-58,-123,8,26,-442,7,-41,-434,-151,-305,-1365,-37
-26,-90,-61,-115,-32,-40,-443,-6,-96,-433,-158,-293,-1359,-32
-27,-79,-52,-115,-24,-24,-443,-3,-93,-433,-160,-293,-1359,-37
-22,-64,-30,-115,-6,-1,-443,13,-83,-433,-147,-293,-1367,-25
-21,-67,-23,-115,-17,-2,-443,23,-81,-433,-148,-292,-1365,-21
-24,-74,-34,-115,-39,-17,-443,20,-86,-433,-163,-294,-1354,-35
-22,-69,-42,-115,-40,-11,-443,13,-90,-433,-164,-292,-1352,-39
-20,-70,-41,-115,-37,-4,-443,18,-88,-434,-161,-291,-1357,-32
-21,-80,-46,-115,-45,-16,-443,24,-90,-432,-175,-298,-1363,-38
